NumberPrefix,Rate,Description,SubDescription
543873,0.04,ARGENTINA,Cities Group 1
543874,0.04,ARGENTINA,Cities Group 1
543879,0.04,ARGENTINA,Cities Group 1
549,0.12,ARGENTINA,Mobile
374,0.1,ARMENIA,Armenia
37410,0.1,ARMENIA,Yerevan
37447,0.18,ARMENIA,Karabakh
37455,0.16,ARMENIA,Mobile
37477,0.15,ARMENIA,K Telecom
3749,0.16,ARMENIA,Mobile
37493,0.15,ARMENIA,K Telecom
37494,0.15,ARMENIA,K Telecom
37497,0.18,ARMENIA,Karabakh
37498,0.15,ARMENIA,K Telecom
297,0.09,ARUBA,Aruba
29756,0.2,ARUBA,Mobile
29759,0.2,ARUBA,Mobile
297600,0.21,ARUBA,Mobile MIO
297622,0.21,ARUBA,Mobile MIO
29766,0.2,ARUBA,Mobile
29769,0.2,ARUBA,Mobile
29773,0.2,ARUBA,Mobile Digicell
29774,0.2,ARUBA,Mobile Digicell
29796,0.2,ARUBA,Mobile
29799,0.2,ARUBA,Mobile
61,0.03,AUSTRALIA,Australia
6113,0.11,AUSTRALIA,NGN
6114,0.09,AUSTRALIA,Mobile
6114331,0.09,AUSTRALIA,MobileSat
61145,0.09,AUSTRALIA,MobileSat
61147,0.09,AUSTRALIA,MobileSat
6116,0.09,AUSTRALIA,Mobile
61261,0.03,AUSTRALIA,Canberra
61262,0.03,AUSTRALIA,Canberra
6128,0.03,AUSTRALIA,Sydney
6129,0.03,AUSTRALIA,Sydney
6138,0.03,AUSTRALIA,Melbourne
6139,0.03,AUSTRALIA,Melbourne
614,0.09,AUSTRALIA,Mobile
61400,0.09,AUSTRALIA,Mobile
61401,0.09,AUSTRALIA,Mobile
61402,0.09,AUSTRALIA,Mobile
61403,0.09,AUSTRALIA,Mobile
61404,0.09,AUSTRALIA,Mobile
61405,0.09,AUSTRALIA,Mobile
61406,0.09,AUSTRALIA,Mobile
61407,0.09,AUSTRALIA,Mobile
61408,0.09,AUSTRALIA,Mobile
61409,0.09,AUSTRALIA,Mobile
61410,0.09,AUSTRALIA,Mobile
61411,0.09,AUSTRALIA,Mobile
61412,0.09,AUSTRALIA,Mobile
61413,0.09,AUSTRALIA,Mobile
61414,0.09,AUSTRALIA,Mobile
61415,0.09,AUSTRALIA,Mobile
61416,0.09,AUSTRALIA,Mobile
61417,0.09,AUSTRALIA,Mobile
61418,0.09,AUSTRALIA,Mobile
61419,0.09,AUSTRALIA,Mobile
614202,0.09,AUSTRALIA,Mobile
614203,0.09,AUSTRALIA,Mobile
614204,0.09,AUSTRALIA,Mobile
614205,0.09,AUSTRALIA,Mobile
614206,0.09,AUSTRALIA,Mobile
614207,0.09,AUSTRALIA,Mobile
614208,0.09,AUSTRALIA,Mobile
614209,0.09,AUSTRALIA,Mobile
61421,0.09,AUSTRALIA,Mobile
61422,0.09,AUSTRALIA,Mobile
61423,0.09,AUSTRALIA,Mobile
61424,0.09,AUSTRALIA,Mobile
61426,0.09,AUSTRALIA,Mobile
61427,0.09,AUSTRALIA,Mobile
61428,0.09,AUSTRALIA,Mobile
61429,0.09,AUSTRALIA,Mobile
61431,0.09,AUSTRALIA,Mobile
61432,0.09,AUSTRALIA,Mobile
